# Gene Family	SRR579277_Abundance-RPKs
UniRef90_B5D195|g__Bacteroides.s__Bacteroides_dorei	16.3934426230
UniRef90_B7CCT9	16.3934426230
UniRef90_B7CCT9|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	16.3934426230
UniRef90_E5VLE3	16.1547532150
UniRef90_E5VLE3|g__Ruminococcus.s__Ruminococcus_lactaris	16.1547532150
UniRef90_D4MWC5	16.0968786575
UniRef90_D4MWC5|g__Blautia.s__Ruminococcus_obeum	15.2521885596
UniRef90_D4MWC5|g__Eubacterium.s__Eubacterium_hallii	0.8446900978
UniRef90_C7H3G4	15.9493595116
UniRef90_C7H3G4|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	15.9493595116
UniRef90_D4JN18	15.8931407875
UniRef90_D4JN18|g__Eubacterium.s__Eubacterium_rectale	15.4371164432
UniRef90_D4JN18|unclassified	0.4560243444
UniRef90_D4LZR7	15.8732024475
UniRef90_D4LZR7|g__Eubacterium.s__Eubacterium_rectale	5.5863420915
UniRef90_D4LZR7|g__Ruminococcus.s__Ruminococcus_lactaris	5.4468379552
UniRef90_D4LZR7|g__Blautia.s__Ruminococcus_obeum	4.8400224008
UniRef90_C4ZA43	15.8730158730
UniRef90_C4ZA43|g__Eubacterium.s__Eubacterium_rectale	15.8730158730
UniRef90_C4ZFJ3	15.8730158730
UniRef90_C4ZFJ3|g__Eubacterium.s__Eubacterium_rectale	15.8730158730
UniRef90_C4ZDS0	15.8065859533
UniRef90_C4ZDS0|g__Eubacterium.s__Eubacterium_rectale	15.8065859533
UniRef90_R6L2G4	15.7058388766
UniRef90_R6L2G4|g__Blautia.s__Ruminococcus_obeum	15.7058388766
UniRef90_E2ZJS2	15.6250000000
UniRef90_E2ZJS2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	15.6250000000
UniRef90_R6AB98	15.6250000000
UniRef90_R6AB98|g__Bacteroides.s__Bacteroides_stercoris	15.6250000000
UniRef90_B5CMS1	15.5459629000
UniRef90_B5CMS1|g__Ruminococcus.s__Ruminococcus_lactaris	15.5459629000
UniRef90_D6E5S2	15.3846153846
UniRef90_D6E5S2|g__Eubacterium.s__Eubacterium_rectale	15.3846153846
UniRef90_C7H6V1	15.1515151515
UniRef90_C7H6V1|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	15.1515151515
UniRef90_D4VLE0	15.1515151515
UniRef90_D4VLE0|g__Bacteroides.s__Bacteroides_stercoris	15.1515151515
UniRef90_G1ULJ7	15.1515151515
UniRef90_G1ULJ7|g__Bacteroides.s__Bacteroides_dorei	15.1515151515
UniRef90_G2T0G9	15.0971686450
UniRef90_G2T0G9|g__Eubacterium.s__Eubacterium_rectale	8.3160804017
UniRef90_G2T0G9|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	6.7810882433
UniRef90_D1K2D8	15.0020627836
UniRef90_D1K2D8|g__Bacteroides.s__Bacteroides_uniformis	15.0020627836
